,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial_Estate,0.018174596847667642,BRISK,0.00016227318613988966,0.008928571428571428,0.9910714285714286,0.008928571428571412
1,Industrial_Estate,0.01038985627733236,BRISK,9.27665739047532e-05,0.00892857142857143,0.9910714285714286,0.008928571428571412
2,Industrial_Estate,0.01581362176567055,BRISK,0.00014119305147920134,0.008928571428571428,0.9910714285714286,0.008928571428571412
3,Industrial_Estate,0.033524849672011664,BRISK,0.00029932901492867546,0.008928571428571428,0.9910714285714284,0.008928571428571468
4,Industrial_Estate,0.02511018358236151,BRISK,0.00022419806769965634,0.008928571428571428,0.9910714285714286,0.008928571428571412
5,Industrial_Estate,0.019394588192419824,BRISK,0.00017316596600374843,0.008928571428571428,0.9910714285714286,0.008928571428571412
6,Industrial_Estate,0.05014064777696792,BRISK,0.0004476843551514993,0.008928571428571428,0.9910714285714284,0.008928571428571468
7,Industrial_Estate,0.185630865069242,BRISK,0.001657418438118232,0.008928571428571428,0.9910714285714286,0.008928571428571412
8,Industrial_Estate,0.2320503257106414,BRISK,0.002071877908130727,0.00892857142857143,0.9910714285714284,0.008928571428571468
9,Industrial_Estate,0.24052335778061226,BRISK,0.0021475299801840377,0.008928571428571428,0.9910714285714286,0.008928571428571412
10,Industrial_Estate,0.21002784484329445,BRISK,0.0018752486146722718,0.00892857142857143,0.9910714285714284,0.008928571428571468
11,Industrial_Estate,0.12845284598214285,BRISK,0.0011469004105548466,0.008928571428571428,0.9910714285714286,0.008928571428571412
12,Industrial_Estate,0.12337642925473764,BRISK,0.0011015752612030145,0.008928571428571428,0.9910714285714286,0.008928571428571412
13,Industrial_Estate,0.11964314185495628,BRISK,0.0010682423379906806,0.008928571428571428,0.9910714285714286,0.008928571428571412
14,Industrial_Estate,0.015754544005102043,BRISK,0.00014066557147412537,0.008928571428571428,0.9910714285714286,0.008928571428571412
15,Industrial_Estate,0.04303921624453353,BRISK,0.0003842787164690493,0.008928571428571428,0.9910714285714284,0.008928571428571468
16,Industrial_Estate,0.1052146444515306,BRISK,0.0009394164683172377,0.008928571428571428,0.9910714285714284,0.008928571428571468
17,Industrial_Estate,0.19537869556304668,BRISK,0.001744452638955774,0.008928571428571428,0.9910714285714284,0.008928571428571468
